ts,tz,site_id,metric,value
2024-12-01T00:00:00+01:00,Europe/Paris,FR001,power_mw,56.394
2024-12-01T00:15:00+01:00,Europe/Paris,FR001,power_mw,50.250
2024-12-01T00:30:00+01:00,Europe/Paris,FR001,power_mw,52.750
2024-12-01T00:45:00+01:00,Europe/Paris,FR001,power_mw,52.232
2024-12-01T01:00:00+01:00,Europe/Paris,FR001,power_mw,57.365
2024-12-01T01:15:00+01:00,Europe/Paris,FR001,power_mw,56.767
2024-12-01T01:30:00+01:00,Europe/Paris,FR001,power_mw,58.922
2024-12-01T01:45:00+01:00,Europe/Paris,FR001,power_mw,50.869
2024-12-01T02:00:00+01:00,Europe/Paris,FR001,power_mw,54.219
2024-12-01T02:15:00+01:00,Europe/Paris,FR001,power_mw,50.298
2024-12-01T02:30:00+01:00,Europe/Paris,FR001,power_mw,52.186
2024-12-01T02:45:00+01:00,Europe/Paris,FR001,power_mw,55.054
2024-12-01T03:00:00+01:00,Europe/Paris,FR001,power_mw,50.265
2024-12-01T03:15:00+01:00,Europe/Paris,FR001,power_mw,51.988
2024-12-01T03:30:00+01:00,Europe/Paris,FR001,power_mw,56.499
2024-12-01T03:45:00+01:00,Europe/Paris,FR001,power_mw,55.449
2024-12-01T04:00:00+01:00,Europe/Paris,FR001,power_mw,52.204
2024-12-01T04:15:00+01:00,Europe/Paris,FR001,power_mw,55.893
2024-12-01T04:30:00+01:00,Europe/Paris,FR001,power_mw,58.094
2024-12-01T04:45:00+01:00,Europe/Paris,FR001,power_mw,50.065
2024-12-01T05:00:00+01:00,Europe/Paris,FR001,power_mw,58.058
2024-12-01T05:15:00+01:00,Europe/Paris,FR001,power_mw,56.981
2024-12-01T05:30:00+01:00,Europe/Paris,FR001,power_mw,53.403
2024-12-01T05:45:00+01:00,Europe/Paris,FR001,power_mw,51.555
2024-12-01T06:00:00+01:00,Europe/Paris,FR001,power_mw,59.572
2024-12-01T06:15:00+01:00,Europe/Paris,FR001,power_mw,53.366
2024-12-01T06:30:00+01:00,Europe/Paris,FR001,power_mw,50.927
2024-12-01T06:45:00+01:00,Europe/Paris,FR001,power_mw,50.967
2024-12-01T07:00:00+01:00,Europe/Paris,FR001,power_mw,58.475
2024-12-01T07:15:00+01:00,Europe/Paris,FR001,power_mw,56.037
2024-12-01T07:30:00+01:00,Europe/Paris,FR001,power_mw,58.071
2024-12-01T07:45:00+01:00,Europe/Paris,FR001,power_mw,57.297
2024-12-01T08:00:00+01:00,Europe/Paris,FR001,power_mw,55.362
2024-12-01T08:15:00+01:00,Europe/Paris,FR001,power_mw,59.731
2024-12-01T08:30:00+01:00,Europe/Paris,FR001,power_mw,53.785
2024-12-01T08:45:00+01:00,Europe/Paris,FR001,power_mw,55.520
2024-12-01T09:00:00+01:00,Europe/Paris,FR001,power_mw,58.294
2024-12-01T09:15:00+01:00,Europe/Paris,FR001,power_mw,56.185
2024-12-01T09:30:00+01:00,Europe/Paris,FR001,power_mw,58.617
2024-12-01T09:45:00+01:00,Europe/Paris,FR001,power_mw,55.774
2024-12-01T10:00:00+01:00,Europe/Paris,FR001,power_mw,57.046
2024-12-01T10:15:00+01:00,Europe/Paris,FR001,power_mw,50.458
2024-12-01T10:30:00+01:00,Europe/Paris,FR001,power_mw,52.279
2024-12-01T10:45:00+01:00,Europe/Paris,FR001,power_mw,52.894
2024-12-01T11:00:00+01:00,Europe/Paris,FR001,power_mw,50.798
2024-12-01T11:15:00+01:00,Europe/Paris,FR001,power_mw,52.328
2024-12-01T11:30:00+01:00,Europe/Paris,FR001,power_mw,51.010
2024-12-01T11:45:00+01:00,Europe/Paris,FR001,power_mw,52.780
2024-12-01T12:00:00+01:00,Europe/Paris,FR001,power_mw,56.357
2024-12-01T12:15:00+01:00,Europe/Paris,FR001,power_mw,53.648
2024-12-01T12:30:00+01:00,Europe/Paris,FR001,power_mw,53.702
2024-12-01T12:45:00+01:00,Europe/Paris,FR001,power_mw,52.095
2024-12-01T13:00:00+01:00,Europe/Paris,FR001,power_mw,52.670
2024-12-01T13:15:00+01:00,Europe/Paris,FR001,power_mw,59.367
2024-12-01T13:30:00+01:00,Europe/Paris,FR001,power_mw,56.480
2024-12-01T13:45:00+01:00,Europe/Paris,FR001,power_mw,56.091
2024-12-01T14:00:00+01:00,Europe/Paris,FR001,power_mw,51.711
2024-12-01T14:15:00+01:00,Europe/Paris,FR001,power_mw,57.291
2024-12-01T14:30:00+01:00,Europe/Paris,FR001,power_mw,51.634
2024-12-01T14:45:00+01:00,Europe/Paris,FR001,power_mw,53.795
2024-12-01T15:00:00+01:00,Europe/Paris,FR001,power_mw,59.895
2024-12-01T15:15:00+01:00,Europe/Paris,FR001,power_mw,56.400
2024-12-01T15:30:00+01:00,Europe/Paris,FR001,power_mw,55.569
2024-12-01T15:45:00+01:00,Europe/Paris,FR001,power_mw,56.846
2024-12-01T16:00:00+01:00,Europe/Paris,FR001,power_mw,58.429
2024-12-01T16:15:00+01:00,Europe/Paris,FR001,power_mw,57.760
2024-12-01T16:30:00+01:00,Europe/Paris,FR001,power_mw,52.290
2024-12-01T16:45:00+01:00,Europe/Paris,FR001,power_mw,50.321
2024-12-01T17:00:00+01:00,Europe/Paris,FR001,power_mw,53.155
2024-12-01T17:15:00+01:00,Europe/Paris,FR001,power_mw,52.677
